feature_index,feature_name,importance
1,Protocol,0.06569601494289709
5,Total Length of Bwd Packet,0.0551668517351882
11,Bwd Packet Length Std,0.05139514086197217
13,Flow Packets/s,0.049332664484875395
14,Flow IAT Mean,0.04626697902668583
12,Flow Bytes/s,0.0461953607775429
38,Subflow Fwd Bytes,0.042153593740667905
25,Bwd Packets/s,0.038340913788457255
40,Bwd Init Win Bytes,0.03674707299771368
23,Bwd URG Flags,0.03662579478009301
2,Flow Duration,0.034753718021348474
41,Fwd Seg Size Min,0.030697927049967783
37,Subflow Fwd Packets,0.029257932953613057
24,Fwd Header Length,0.028437934835262448
3,Total Fwd Packet,0.027150813503874667
4,Total Bwd packets,0.025589885134621904
0,Flow ID,0.022593548832721973
9,Bwd Packet Length Min,0.021095754312700957
28,SYN Flag Count,0.020062798231900797
7,Fwd Packet Length Std,0.018730263419942213
6,Fwd Packet Length Max,0.018352986324794627
17,Bwd IAT Mean,0.01737323704501388
35,Fwd Bulk Rate Avg,0.016124941082921795
16,Bwd IAT Total,0.01588657464417805
36,Bwd Bulk Rate Avg,0.01490114927170309
8,Bwd Packet Length Max,0.014263935155068788
18,Bwd IAT Std,0.013554515460444507
42,Active Mean,0.013500221265476503
31,ECE Flag Count,0.01331857065455119
39,FWD Init Win Bytes,0.012821875735117687
43,Active Std,0.011753528319938806
10,Bwd Packet Length Mean,0.011086162814798526
15,Flow IAT Std,0.010630855433866146
26,Packet Length Std,0.007554231670932617
27,FIN Flag Count,0.007169844089644427
19,Bwd IAT Max,0.003966931750166412
29,RST Flag Count,0.002985993780642673
30,CWR Flag Count,0.002967770997538739
21,Bwd PSH Flags,0.0019089242103277444
22,Fwd URG Flags,0.0
20,Fwd PSH Flags,0.0
34,Fwd Packet/Bulk Avg,0.0
32,Down/Up Ratio,0.0
33,Fwd Bytes/Bulk Avg,0.0
