Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Traffic Type,Traffic Subtype
192.168.1.70-192.168.1.90-65079-0-6,192.168.1.70,65079,192.168.1.90,0,6,1/01/1970 22:45,38650231,2,0,100,0,50,50,50,0,0,0,0,0,2.587306658,0.051746133,38650231,0,38650231,38650231,38650231,38650231,0,38650231,38650231,0,0,0,0,0,0,0,0,0,40,0,0.051746133,0,50,50,50,0,0,0,0,0,0,0,0,0,2,0,75,50,0,0,0,0,0,0,0,2,100,0,0,512,0,1,20,0,0,0,0,38650231,0,38650231,38650231,Malicious,DoS,DoS ECN
192.168.1.70-192.168.1.90-50433-0-6,192.168.1.70,50433,192.168.1.90,0,6,1/01/1970 4:59,53663,1,1,500,0,500,500,500,0,0,0,0,0,9317.406779,37.26962712,53663,0,53663,53663,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,18.63481356,18.63481356,0,500,333.3333333,288.6751346,83333.33333,0,0,1,1,1,0,0,0,1,500,500,0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,Malicious,DoS,DoS PSH
192.168.1.70-192.168.1.90-51949-0-6,192.168.1.70,51949,192.168.1.90,0,6,3/01/1970 4:01,40134,1,1,50,0,50,50,50,0,0,0,0,0,1245.826481,49.83305925,40134,0,40134,40134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24.91652963,24.91652963,0,50,33.33333333,28.86751346,833.3333333,0,0,1,0,1,0,0,1,1,50,50,0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,Malicious,DoS,DoS ECN
192.168.1.70-192.168.1.90-1224-0-6,192.168.1.70,1224,192.168.1.90,0,6,1/01/1970 4:48,24984,1,1,50,0,50,50,50,0,0,0,0,0,2001.28082,80.05123279,24984,0,24984,24984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40.02561639,40.02561639,0,50,33.33333333,28.86751346,833.3333333,0,1,1,0,1,0,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,20,0,0,0,0,0,0,0,0,Malicious,DoS,DoS SYN
192.168.1.70-192.168.1.90-9575-0-6,192.168.1.70,9575,192.168.1.90,0,6,3/01/1970 4:10,20005465,2,0,1000,0,500,500,500,0,0,0,0,0,49.98634123,0.099972682,20005465,0,20005465,20005465,20005465,20005465,0,20005465,20005465,0,0,0,0,0,0,0,0,0,40,0,0.099972682,0,500,500,500,0,0,0,0,0,0,0,0,0,2,0,750,500,0,0,0,0,0,0,0,2,1000,0,0,512,0,1,20,0,0,0,0,20005465,0,20005465,20005465,Malicious,DoS,DoS ECN
192.168.1.70-192.168.1.90-32110-0-6,192.168.1.70,32110,192.168.1.90,0,6,3/01/1970 4:01,64566,1,1,50,0,50,50,50,0,0,0,0,0,774.4013877,30.97605551,64566,0,64566,64566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15.48802775,15.48802775,0,50,33.33333333,28.86751346,833.3333333,0,0,1,0,1,0,0,1,1,50,50,0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,Malicious,DoS,DoS ECN
192.168.1.70-192.168.1.90-1424-2450-6,192.168.1.70,1424,192.168.1.90,2450,6,1/01/1970 7:45,40044,1,1,0,0,0,0,0,0,0,0,0,0,0,49.94506043,40044,0,40044,40044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,24.97253022,24.97253022,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,Malicious,Information Gathering,Information Gathering
192.168.1.70-192.168.1.90-12906-0-6,192.168.1.70,12906,192.168.1.90,0,6,1/01/1970 5:00,7026958,2,0,1000,0,500,500,500,0,0,0,0,0,142.3090902,0.28461818,7026958,0,7026958,7026958,7026958,7026958,0,7026958,7026958,0,0,0,0,0,1,0,0,0,40,0,0.28461818,0,500,500,500,0,0,0,0,1,1,0,0,0,0,0,750,500,0,0,0,0,0,0,0,2,1000,0,0,1000,0,1,20,0,0,0,0,7026958,0,7026958,7026958,Malicious,DoS,DoS RST
192.168.1.70-192.168.1.90-23996-0-6,192.168.1.70,23996,192.168.1.90,0,6,3/01/1970 4:00,20823605,3,1,150,0,50,50,50,0,0,0,0,0,7.203363683,0.192089698,6941201.667,6074728.885,11459619,35461,20788144,10394072,1506911.019,11459619,9328525,0,0,0,0,0,0,0,1,0,60,20,0.144067274,0.048022425,0,50,40,22.36067977,500,0,0,1,0,1,3,0,0,0,50,50,0,0,0,0,0,0,0,1,75,0,0,512,0,2,20,0,0,0,0,10394072,1506911.019,11459619,9328525,Malicious,DoS,DoS URG
192.168.1.70-192.168.1.90-65223-0-6,192.168.1.70,65223,192.168.1.90,0,6,1/01/1970 5:00,10115762,2,0,1000,0,500,500,500,0,0,0,0,0,98.85562749,0.197711255,10115762,0,10115762,10115762,10115762,10115762,0,10115762,10115762,0,0,0,0,0,1,0,0,0,40,0,0.197711255,0,500,500,500,0,0,0,0,1,1,0,0,0,0,0,750,500,0,0,0,0,0,0,0,2,1000,0,0,1000,0,1,20,0,0,0,0,10115762,0,10115762,10115762,Malicious,DoS,DoS RST
